Organization ID,Organization Name,Organization Acronym,Number of Employees
1,Food and Agriculture Organization,FAO,809
2,International Atomic Energy Agency,IAEA,748
3,International Civil Aviation Organization,ICAO,797
4,International Fund for Agricultural Development,IFAD,835
5,International Labour Organization,ILO,811
6,International Maritime Organization,IMO,759
7,International Monetary Fund,IMF,785
8,International Telecommunication Union,ITU,814
9,"United Nations Educational, Scientific and Cultural Organization",UNESCO,766
10,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UNRWA,820
